Name,Position,Yrs,G,AB,H,HR,BA,OBP,SLG,OPS,oWAR,dWAR,w/OBA,wRC+,HoF grade,
Lou Gehrig,1B,17,2164,8001,2721,493,0.34,0.444,0.632,1.076,113.7,-9,0.477,171,68.5,
Cap Anson,1B,27,2524,10281,3435,97,0.334,0.394,0.447,0.841,91.6,5,0.393,134,58.3,
Jimmie Foxx,1B,20,2317,8134,2646,534,0.325,0.426,0.609,1.035,90.7,-5.8,0.461,156,58.01,
Dan Brouthers,1B,19,1676,6726,2303,107,0.342,0.423,0.52,0.943,82.4,-1.7,0.436,156,55.92,
Roger Connor,1B,18,1998,7797,2467,138,0.316,0.397,0.486,0.883,79.4,6.3,0.409,143,55.16,
Rod Carew,1B,19,2469,9315,3053,92,0.328,0.393,0.429,0.822,81,-1.7,0.369,132,51.75,
Jeff Bagwell,1B,15,2150,7797,2314,449,0.297,0.408,0.54,0.948,74.8,-7.2,0.405,149,50.17,
Johnny Mize,1B,15,1884,6443,2011,359,0.312,0.397,0.562,0.959,69,-6.5,0.433,155,48.96,
Jim Thome,1B,22,2543,8422,2328,612,0.276,0.402,0.554,0.956,77.7,-16.4,0.406,145,47.97,
Harmon Killebrew,1B,22,2435,8147,2086,573,0.256,0.376,0.509,0.884,71.5,-18.7,0.389,142,44.35,
Ernie Banks,1B,19,2528,9421,2583,512,0.274,0.33,0.5,0.83,62.4,5.1,0.359,118,44.24,
Willie McCovey,1B,22,2588,8197,2211,521,0.27,0.374,0.515,0.889,72,-21.6,0.388,145,44.13,
Hank Greenberg,1B,13,1394,5193,1628,331,0.313,0.411,0.605,1.016,54,-4.4,0.453,153,43.3,
Jake Beckley,1B,20,2392,9551,2938,87,0.308,0.361,0.436,0.797,59.7,-0.4,0.376,119,41.67,
Eddie Murray,1B,21,3026,11336,3255,504,0.287,0.359,0.476,0.836,62.2,-11.6,0.365,127,40.5,
Bill Terry,1B,14,1721,6428,2193,154,0.341,0.389,0.506,0.895,49.8,-0.3,0.407,136,40.29,
Mule Suttles,1B,21,906,3207,1089,179,0.34,0.41,0.619,1.029,35.6,-3.1,0.455,167,38.43,
George Sisler,1B,15,2055,8267,2812,102,0.34,0.376,0.468,0.845,54.3,-7.6,0.393,122,37.8,
Frank Chance,1B,17,1288,4299,1274,20,0.296,0.394,0.394,0.788,40.7,2.9,0.385,137,37.76,
Fred McGriff,1B,19,2460,8757,2490,493,0.284,0.377,0.509,0.886,56.2,-17.3,0.383,134,37.45,
Buck Leonard,1B,14,589,2110,728,95,0.345,0.452,0.59,1.042,27.8,-0.6,0.472,175,37.26,
Tony Perez,1B,23,2777,9778,2732,379,0.279,0.341,0.463,0.804,51,-6.6,0.356,121,36.62,
Jud Wilson,1B,21,901,3048,1073,77,0.352,0.436,0.527,0.962,32.1,-0.5,0.44,154,35.86,
Gil Hodges,1B,18,2071,7030,1921,370,0.273,0.359,0.487,0.846,40.7,-5.4,0.379,121,32.87,
Jim Bottomley,1B,16,1991,7471,2313,219,0.31,0.365,0.5,0.865,43.5,-15.9,0.393,123,31.14,
Ben Taylor,1B,10,627,2329,786,26,0.337,0.398,0.461,0.858,15.6,-0.9,0.398,135,26.28,
George Kelly,1B,16,1622,5993,1778,148,0.297,0.339,0.452,0.791,21.2,-1.2,0.363,109,24.52,
Todd Helton,1B,17,2247,7962,2519,369,0.316,0.414,0.539,0.953,54.5,-0.5,0.405,132,41.51
