Name,Position,Yrs,G,AB,H,HR,BA,OBP,SLG,OPS,oWAR,dWAR,w/OBA,wRC+,HoF grade,
Johnny Bench,C,17,2158,7658,2048,389,0.267,0.342,0.476,0.817,65.7,19.7,0.362,125,50.99,
Carlton Fisk,C,24,2499,8756,2356,376,0.269,0.341,0.457,0.797,66.3,17,0.354,117,49.22,
Mike Piazza,C,16,1912,6911,2127,427,0.308,0.377,0.545,0.922,66.4,1.5,0.39,140,48.07,
Gary Carter,C,19,2296,7971,2092,324,0.262,0.335,0.439,0.773,56.3,26.1,0.342,116,47.8,
Ivan Rodriguez,C,21,2543,9592,2844,311,0.296,0.334,0.464,0.798,54.5,29.6,0.344,104,46.33,
Josh Gibson,C,14,598,2155,806,165,0.374,0.458,0.72,1.178,37.8,1.5,0.521,202,45.95,
Yogi Berra,C,19,2120,7555,2150,358,0.285,0.348,0.482,0.83,56.3,9.2,0.37,124,43.94,
Bill Dickey,C,17,1789,6300,1969,202,0.313,0.381,0.486,0.867,52,10.2,0.396,126,42.82,
Gabby Hartnett,C,20,1990,6432,1912,236,0.297,0.367,0.489,0.856,48,13.3,0.389,126,42.15,
Mickey Cochrane,C,13,1482,5169,1652,119,0.32,0.416,0.478,0.893,53.6,0.7,0.413,131,41.36,
Joe Mauer,C,15,1858,6930,2123,143,0.306,0.388,0.439,0.827,53,3,0.358,123,40.6,
Ted Simmons,C,21,2456,8680,2472,248,0.285,0.348,0.437,0.785,53.6,5.2,0.347,116,40.45,
Roger Bresnahan,C,17,1446,4481,1252,26,0.279,0.386,0.377,0.764,42.5,6.5,0.373,128,38.21,
Roy Campanella,C,18,1432,4956,1403,259,0.283,0.364,0.498,0.861,38.7,9,0.388,126,37.14,
Ernie Lombardi,C,17,1853,5855,1792,190,0.306,0.358,0.46,0.818,39.4,3.8,0.377,125,35.71,
Buck Ewing,C,18,1315,5363,1625,71,0.303,0.351,0.456,0.807,30.2,6.6,0.372,123,32.57,
Biz Mackey,C,22,894,3072,1008,52,0.328,0.39,0.469,0.859,25,2.5,0.396,132,30.61,
Rick Ferrell,C,18,1884,6028,1692,28,0.281,0.377,0.363,0.741,27.5,9.4,0.354,98,28.57,
Ray Schalk,C,18,1762,5306,1345,11,0.253,0.34,0.316,0.656,23.7,18.3,0.321,88,28.22,
Al Lopez,C,19,1950,5916,1547,51,0.261,0.326,0.337,0.663,9.3,12.9,0.314,85,20.39,
Louis Santop,C,4,115,350,111,7,0.317,0.363,0.451,0.814,2.5,0.2,0.376,127,20.17
