name,position,oWAR,dWAR,wOBA,wRCPlus
A.J. Pierzynski,C,28.4,8.4,0.319,92
Adam Dunn,OF,35.3,-28.4,0.367,123
Adam Jones,OF,37.3,-0.7,0.332,105
Adrián González,1B,36.1,-3.6,0.359,127
Alex Rodriguez,SS,115.3,10.4,0.395,141
Alfonso Soriano,OF,36.2,-10.1,0.348,111
Andre Ethier,OF,24.5,-8.1,0.355,122
Andruw Jones,OF,39.8,24.4,0.352,111
Aramis Ramírez,3B,41.9,-5.9,0.357,115
Barry Bonds,OF,143.6,7.6,0.435,173
Ben Zobrist,2B,39.2,6.7,0.342,116
Bill Freehan,C,43.3,12,0.339,113
Bobby Abreu,OF,61.6,-10.9,0.378,129
Bobby Grich,2B,62.6,16.8,0.361,129
Brandon Phillips,2B,26.5,6.9,0.321,95
Brian McCann,C,34.2,7.5,0.34,110
Brian Roberts,2B,28.6,5.2,0.332,101
Buddy Bell,3B,48.1,23.8,0.335,108
Carl Crawford,OF,32.1,1.5,0.332,104
Carlos Beltrán,OF,66.6,2,0.358,118
Carlos González,OF,22.5,-2.5,0.359,111
Carlos Peña,1B,22.1,-5.9,0.35,117
Chase Headley,3B,25.2,1.8,0.327,107
Chase Utley,2B,51.3,17.3,0.356,118
Chone Figgins,3B,21.9,2.9,0.32,95
Curtis Granderson,OF,43.6,4.2,0.347,115
Dale Murphy,OF,48.9,-6.8,0.357,119
David Wright,3B,51.9,0.3,0.373,133
Denard Span,OF,27,2.5,0.329,105
Dick Allen,1B,70.2,-16.3,0.400,155
Dustin Pedroia,2B,41.4,15.5,0.352,115
Eric Chávez,3B,34.4,6.3,0.349,113
Frank White,2B,22.5,21.9,0.301,84
Gary Sheffield,OF,80.7,-27.7,0.391,141
Graig Nettles,3B,52.8,21.4,0.337,111
Hal McRae,DH,30,-17.4,0.358,122
Hanley Ramírez,SS,49.6,-8.4,0.364,125
Ian Kinsler,2B,44.8,14.9,0.338,107
J.J. Hardy,SS,19.4,17.6,0.311,89
Jacoby Ellsbury,OF,27.8,6,0.333,104
Jason Giambi,1B,58.4,-19.7,0.394,140
Jayson Werth,OF,29.4,-6.6,0.356,120
Jeff Kent,2B,60.1,-0.1,0.367,123
Jhonny Peralta,SS,33.5,5.8,0.328,103
Jimmy Rollins,SS,42.8,16,0.323,95
Jorge Posada,C,48.6,2.6,0.367,123
José Bautista,OF,40.3,-7.9,0.362,126
Jose Canseco,OF,45.9,-13.8,0.375,130
José Reyes,SS,45.1,1.8,0.33,103
Justin Morneau,1B,24.9,-6.5,0.353,116
Keith Hernandez,1B,46.3,1.3,0.365,131
Ken Boyer,3B,55.9,10.7,0.355,116
Kenny Lofton,OF,58,15.5,0.352,109
Lou Whitaker,2B,67.7,16.3,0.353,118
Manny Ramirez,OF,81.8,-21.7,0.418,153
Mark McGwire,1B,65.4,-12.2,0.415,157
Mark Teixeira,1B,41.9,-0.9,0.371,127
Matt Holliday,OF,49.4,-13.2,0.383,135
Michael Cuddyer,OF,27.8,-15,0.349,112
Michael Young,SS,40.2,-10.5,0.342,104
Mike Napoli,C,27.8,-2.7,0.355,119
Nick Swisher,OF,24.2,-9.2,0.348,114
Omar Vizquel,SS,32.9,29.5,0.31,83
Paul Konerko,1B,33.1,-17.7,0.361,118
Pete Rose,OF,83.3,-13.2,0.354,121
Prince Fielder,1B,34.1,-20.5,0.377,133
Rafael Furcal,SS,32.8,15,0.33,99
Rafael Palmeiro,1B,67.5,-10.6,0.38,130
Raúl Ibañez,OF,28.7,-17.3,0.344,110
Russell Martin,C,33.1,16.4,0.33,104
Ryan Howard,1B,22.8,-17.5,0.361,121
Sammy Sosa,OF,50.4,-0.3,0.370,124
Shane Victorino,OF,23.8,7.6,0.336,104
Shoeless Joe Jackson,OF,61.2,-6.1,0.443,165
Torii Hunter,OF,47.4,-4,0.342,110
Troy Tulowitzki,SS,34.2,17.4,0.368,119
Victor Martinez,DH,37.4,-8.3,0.351,117
