Name,Position,Yrs,G,AB,H,HR,BA,OBP,SLG,OPS,oWAR,dWAR,w/OBA,wRC+,HoF grade,
Babe Ruth,OF,22,2503,8399,2873,714,0.342,0.471,0.69,1.161,154.5,-2.3,0.513,194,90.29,
Willie Mays,OF,23,3005,10924,3293,660,0.301,0.384,0.557,0.94,136.5,18.2,0.409,154,83.22,
Ty Cobb,OF,24,3034,11440,4189,117,0.366,0.432,0.512,0.943,151.6,-10.8,0.445,164,82.07,
Henry Aaron,OF,23,3298,12364,3771,755,0.305,0.374,0.555,0.928,132.6,-4.6,0.403,153,74.67,
Tris Speaker,OF,22,2789,10195,3514,117,0.345,0.427,0.5,0.927,125.1,2.5,0.436,156,74.26,
Ted Williams,OF,19,2292,7706,2654,521,0.344,0.482,0.634,1.115,125.1,-13.3,0.494,187,74.17,
Stan Musial,OF,22,3026,10972,3630,475,0.331,0.417,0.559,0.976,125.2,-9.2,0.435,157,70.94,
Mickey Mantle,OF,18,2401,8102,2415,536,0.298,0.421,0.557,0.977,116.3,-9.6,0.428,170,69.2,
Mel Ott,OF,22,2730,9456,2876,511,0.304,0.412,0.533,0.945,106.8,-6,0.431,154,64.08,
Frank Robinson,OF,21,2808,10006,2943,586,0.294,0.389,0.537,0.926,106.9,-14.8,0.404,153,61.33,
Rickey Henderson,OF,25,3081,10961,3055,297,0.279,0.401,0.419,0.82,105.2,-2.3,0.372,132,61.25,
Ken Griffey Jr.,OF,22,2671,9801,2781,630,0.284,0.37,0.538,0.907,84.6,2.2,0.384,131,54.21,
Joe DiMaggio,OF,13,1736,6821,2214,361,0.325,0.398,0.579,0.977,74.4,3.2,0.439,151,53.44,
Al Kaline,OF,22,2834,10116,3007,399,0.297,0.376,0.48,0.855,78.4,2.8,0.378,134,52.36,
Roberto Clemente,OF,18,2433,9454,3000,240,0.317,0.359,0.475,0.834,71.5,12.2,0.365,129,51.66,
Carl Yastrzemski,OF,23,3308,11988,3419,452,0.285,0.379,0.462,0.841,78.3,1,0.375,130,51.18,
Harry Heilmann,OF,17,2147,7787,2660,183,0.342,0.405,0.52,0.926,76.9,-14,0.427,142,47.92,
Ed Delahanty,OF,16,1837,7510,2597,101,0.346,0.411,0.505,0.917,69.1,-5.4,0.428,144,47.68,
Sam Crawford,OF,19,2517,9570,2961,97,0.309,0.362,0.452,0.814,80.4,-18.1,0.387,138,47.49,
Duke Snider,OF,18,2143,7161,2116,407,0.295,0.38,0.54,0.919,70.2,-5.9,0.404,139,47.22,
