Name,Position,Yrs,G,AB,H,HR,BA,OBP,SLG,OPS,oWAR,dWAR,w/OBA,wRC+,HoF grade,
Rogers Hornsby,2B,23,2259,8173,2930,301,0.358,0.43,0.577,1.007,121.9,13.9,0.459,170,78.5,
Eddie Collins,2B,25,2826,9949,3315,47,0.333,0.423,0.429,0.852,120.1,8.1,0.41,144,72.13,
Nap Lajoie,2B,21,2480,9590,3243,82,0.338,0.38,0.466,0.846,97.8,10.1,0.401,144,63.81,
Joe Morgan,2B,22,2649,9277,2517,268,0.271,0.392,0.427,0.819,104.4,3.8,0.372,135,63.21,
Charlie Gehringer,2B,19,2323,8860,2839,184,0.32,0.402,0.48,0.882,81.9,10.7,0.405,124,54.63,
Roberto Alomar,2B,17,2379,9073,2724,210,0.3,0.371,0.443,0.814,70.8,3.3,0.359,118,47.06,
Craig Biggio,2B,20,2850,10876,3060,291,0.281,0.363,0.433,0.796,76.2,-2.9,0.352,115,46.91,
Frankie Frisch,2B,19,2311,9112,2880,105,0.316,0.366,0.432,0.798,58.5,21.6,0.37,112,46.74,
Jackie Robinson,2B,11,1416,4997,1563,141,0.313,0.41,0.477,0.887,56.5,10.3,0.408,137,46.3,
Ryne Sandberg,2B,16,2164,8385,2386,282,0.285,0.344,0.452,0.795,60.4,13.5,0.351,115,45.51,
Billy Herman,2B,15,1922,7707,2345,47,0.304,0.367,0.407,0.774,52,12.4,0.361,115,41.82,
Joe Gordon,2B,11,1566,5707,1530,253,0.268,0.357,0.466,0.822,40,22.4,0.38,120,40.78,
Bobby Doerr,2B,14,1865,7093,2042,223,0.288,0.362,0.461,0.823,46.5,13.5,0.38,115,39.96,
Tony Lazzeri,2B,14,1740,6297,1840,178,0.292,0.377,0.467,0.843,48.3,5.2,0.387,121,39.09,
Bid McPhee,2B,18,2138,8304,2258,53,0.272,0.355,0.373,0.728,40.3,16.2,0.35,108,37.23,
Nellie Fox,2B,19,2367,9232,2663,35,0.288,0.348,0.363,0.71,37.3,21,0.325,96,35.67,
Johnny Evers,2B,18,1784,6137,1659,12,0.27,0.356,0.334,0.69,33.3,15.4,0.34,109,34.34,
Red Schoendienst,2B,19,2216,8479,2449,84,0.289,0.337,0.387,0.724,38.3,15.2,0.333,94,34.03,
Bill Mazeroski,2B,17,2163,7755,2016,138,0.26,0.299,0.367,0.667,19.7,24,0.293,82,27.42,
John Henry Lloyd,2B,8,433,1629,569,16,0.349,0.4,0.465,0.865,13.6,1.4,0.399,132,25.72
