Name,Position,Yrs,G,AB,H,HR,BA,OBP,SLG,OPS,oWAR,dWAR,w/OBA,wRC+,HoF grade,
Honus Wagner,SS,21,2794,10439,3420,101,0.328,0.391,0.467,0.858,123.4,21.3,0.408,147,77.86,
Cal Ripken Jr.,SS,21,3001,11551,3184,431,0.276,0.34,0.447,0.788,78.2,35.7,0.346,112,58.84,
Arky Vaughan,SS,14,1817,6622,2103,96,0.318,0.406,0.453,0.859,76.1,12,0.399,138,54.8,
Derek Jeter,SS,20,2747,11195,3465,260,0.31,0.377,0.44,0.817,96.3,-9.4,0.36,119,53.6,
George Davis,SS,20,2372,9045,2665,73,0.295,0.362,0.405,0.767,70.9,24,0.366,118,53.31,
Luke Appling,SS,20,2422,8856,2749,45,0.31,0.399,0.398,0.798,73.7,19.1,0.378,115,52.52,
Robin Yount,SS,20,2856,11008,3142,251,0.285,0.342,0.43,0.772,83.1,6.8,0.343,113,52.28,
Barry Larkin,SS,19,2180,7937,2340,198,0.295,0.371,0.444,0.815,68.3,14.4,0.36,118,49.39,
Alan Trammell,SS,20,2293,8288,2365,185,0.285,0.352,0.415,0.767,63,22.7,0.343,111,48.71,
Joe Cronin,SS,20,2124,7579,2285,170,0.301,0.387,0.468,0.855,62.3,14.3,0.394,119,47.12,
Bobby Wallace,SS,25,2383,8618,2309,34,0.268,0.332,0.358,0.69,56.8,28.7,0.333,104,46.98,
Ozzie Smith,SS,19,2573,9396,2460,28,0.262,0.337,0.328,0.666,48.8,44.2,0.305,90,46.33,
Pee Wee Reese,SS,16,2166,8058,2170,126,0.269,0.366,0.377,0.743,57.7,25.6,0.35,103,46.26,
Lou Boudreau,SS,15,1646,6029,1779,68,0.295,0.38,0.415,0.795,50.6,23.3,0.375,122,45.59,
Willie Wells,SS,21,1039,3920,1292,140,0.33,0.407,0.535,0.943,46,8.9,0.426,151,43.78,
Joe Sewell,SS,14,1903,7132,2226,49,0.312,0.387,0.413,0.8,55,9.1,0.377,111,41.44,
Luis Aparicio,SS,18,2599,10230,2677,83,0.262,0.311,0.343,0.653,42.2,31.8,0.296,83,38.91,
Dave Bancroft,SS,16,1913,7182,2004,32,0.279,0.354,0.358,0.713,40.5,23.5,0.342,100,38.3,
Joe Tinker,SS,15,1806,6441,1690,31,0.262,0.308,0.353,0.661,32.8,34.3,0.319,96,37.86,
Hughie Jennings,SS,18,1284,4895,1526,18,0.312,0.391,0.406,0.797,38.2,9,0.385,119,35.89,
Travis Jackson,SS,15,1656,6086,1768,135,0.291,0.332,0.433,0.765,31,22.9,0.351,101,34.47,
Rabbit Maranville,SS,23,2670,10078,2605,28,0.258,0.317,0.34,0.657,31.1,30.8,0.313,83,34.18,
Phil Rizzuto,SS,13,1661,5816,1588,38,0.273,0.351,0.355,0.706,29.7,22.9,0.335,96,33.2,
John Ward,SS,17,1827,7656,2107,26,0.275,0.314,0.341,0.655,29.7,10.4,0.311,97,29.6,
Martín Dihigo,SS,9,397,1418,436,68,0.307,0.389,0.528,0.918,11.1,1.5,0.414,133,24.9
